id,type,title,url,slug,service,city,word_count,unique_word_count,boilerplate_ratio,h1,h2,h3,template_family_size,similar_to,similarity_kind,hamming,issue_flags,issue_categories,primary_issue,observations
1204,post,شركة تركيب عرائش خشبية في البريمي,https://rukn-eltatawer.com/om/wooden-arbor-installation-al-buraimi/,wooden-arbor-installation-al-buraimi,wooden-arbor-installation,al-buraimi,2158,1045,0.516,0,20,13,1,,,,template_boilerplate|unexpanded_shortcodes|tel_in_content,Template/Boilerplate | Missing SEO Elements | Errors/Placeholders,Template/Boilerplate,"هيكل H2 مكرر على 1 مقالة، ونسبة الجمل المكررة 52%. شورت كود كيان غير مُفسَّر (أقسام ناقصة في HTML): [post_call], [post_features], [post_prices], [post_services], [post_steps]. ما زال هناك رابط اتصال هاتفي tel: داخل المحتوى."
450,post,شركة تنظيف كراجات ومواقف سيارات في عبري,https://rukn-eltatawer.com/om/garage-cleaning-ibri/,garage-cleaning-ibri,garage-cleaning,ibri,2238,1113,0.503,0,20,13,1,,,,template_boilerplate|unexpanded_shortcodes|tel_in_content|missing_meta,Template/Boilerplate | Missing SEO Elements | Errors/Placeholders,Template/Boilerplate,"هيكل H2 مكرر على 1 مقالة، ونسبة الجمل المكررة 50%. شورت كود كيان غير مُفسَّر (أقسام ناقصة في HTML): [post_call], [post_features], [post_prices], [post_services], [post_steps]. ما زال هناك رابط اتصال هاتفي tel: داخل المحتوى. صورة بارزة مفقودة أو مكررة (id=246)."
1724,post,شركة دهان أبواب وشبابيك خشبية في البريمي,https://rukn-eltatawer.com/om/wood-doors-windows-painting-al-buraimi/,wood-doors-windows-painting-al-buraimi,wood-doors-windows-painting,al-buraimi,2237,1273,0.431,0,20,13,1,,,,template_boilerplate|unexpanded_shortcodes|tel_in_content,Template/Boilerplate | Missing SEO Elements | Errors/Placeholders,Template/Boilerplate,"هيكل H2 مكرر على 1 مقالة، ونسبة الجمل المكررة 43%. شورت كود كيان غير مُفسَّر (أقسام ناقصة في HTML): [post_call], [post_features], [post_prices], [post_services], [post_steps]. ما زال هناك رابط اتصال هاتفي tel: داخل المحتوى."
1004,post,شركة تركيب شبابيك في البريمي,https://rukn-eltatawer.com/om/windows-installation-al-buraimi/,windows-installation-al-buraimi,windows-installation,al-buraimi,2074,1281,0.382,0,20,13,1,,,,template_boilerplate|unexpanded_shortcodes|tel_in_content,Template/Boilerplate | Missing SEO Elements | Errors/Placeholders,Template/Boilerplate,"هيكل H2 مكرر على 1 مقالة، ونسبة الجمل المكررة 38%. شورت كود كيان غير مُفسَّر (أقسام ناقصة في HTML): [post_call], [post_features], [post_prices], [post_services], [post_steps]. ما زال هناك رابط اتصال هاتفي tel: داخل المحتوى."
628,post,شركة صيانة مبردات مياه في البريمي,https://rukn-eltatawer.com/om/water-cooler-maintenance-al-buraimi/,water-cooler-maintenance-al-buraimi,water-cooler-maintenance,al-buraimi,2103,1306,0.379,0,20,13,1,,,,template_boilerplate|unexpanded_shortcodes|tel_in_content,Template/Boilerplate | Missing SEO Elements | Errors/Placeholders,Template/Boilerplate,"هيكل H2 مكرر على 1 مقالة، ونسبة الجمل المكررة 38%. شورت كود كيان غير مُفسَّر (أقسام ناقصة في HTML): [post_call], [post_features], [post_prices], [post_services], [post_steps]. ما زال هناك رابط اتصال هاتفي tel: داخل المحتوى."
596,post,شركة صيانة غسالات في البريمي,https://rukn-eltatawer.com/om/washer-maintenance-al-buraimi/,washer-maintenance-al-buraimi,washer-maintenance,al-buraimi,2060,1270,0.383,0,20,13,1,https://rukn-eltatawer.com/om/outdoor-bathrooms-al-buraimi/,cross-service-duplicate,7,template_boilerplate|duplicate_similar|unexpanded_shortcodes|tel_in_content,Template/Boilerplate | Duplicate/Similar | Missing SEO Elements | Errors/Placeholders,Template/Boilerplate,"هيكل H2 مكرر على 1 مقالة، ونسبة الجمل المكررة 38%. تشابه مرتفع (hamming=7, cross-service-duplicate) مع https://rukn-eltatawer.com/om/outdoor-bathrooms-al-buraimi/. شورت كود كيان غير مُفسَّر (أقسام ناقصة في HTML): [post_call], [post_features], [post_prices], [post_services], [post_steps]. ما زال هناك رابط اتصال هاتفي tel: داخل المحتوى."
1652,post,شركة تركيب ورق حائط في البريمي,https://rukn-eltatawer.com/om/wallpaper-installation-al-buraimi/,wallpaper-installation-al-buraimi,wallpaper-installation,al-buraimi,2185,1220,0.442,0,20,13,1,,,,template_boilerplate|unexpanded_shortcodes|tel_in_content,Template/Boilerplate | Missing SEO Elements | Errors/Placeholders,Template/Boilerplate,"هيكل H2 مكرر على 1 مقالة، ونسبة الجمل المكررة 44%. شورت كود كيان غير مُفسَّر (أقسام ناقصة في HTML): [post_call], [post_features], [post_prices], [post_services], [post_steps]. ما زال هناك رابط اتصال هاتفي tel: داخل المحتوى."
451,post,شركة تنظيف كراجات ومواقف سيارات في الرستاق,https://rukn-eltatawer.com/om/garage-cleaning-rustaq/,garage-cleaning-rustaq,garage-cleaning,rustaq,2287,1384,0.395,0,20,13,1,,,,template_boilerplate|unexpanded_shortcodes|tel_in_content|missing_meta,Template/Boilerplate | Missing SEO Elements | Errors/Placeholders,Template/Boilerplate,"هيكل H2 مكرر على 1 مقالة، ونسبة الجمل المكررة 40%. شورت كود كيان غير مُفسَّر (أقسام ناقصة في HTML): [post_call], [post_features], [post_prices], [post_services], [post_steps]. ما زال هناك رابط اتصال هاتفي tel: داخل المحتوى. صورة بارزة مفقودة أو مكررة (id=246)."
948,post,شركة تركيب ورق جدران في البريمي,https://rukn-eltatawer.com/om/wallpaper-al-buraimi/,wallpaper-al-buraimi,wallpaper,al-buraimi,2181,1156,0.47,0,20,13,1,,,,template_boilerplate|unexpanded_shortcodes|tel_in_content,Template/Boilerplate | Missing SEO Elements | Errors/Placeholders,Template/Boilerplate,"هيكل H2 مكرر على 1 مقالة، ونسبة الجمل المكررة 47%. شورت كود كيان غير مُفسَّر (أقسام ناقصة في HTML): [post_call], [post_features], [post_prices], [post_services], [post_steps]. ما زال هناك رابط اتصال هاتفي tel: داخل المحتوى."
1180,post,شركة تركيب عشب جداري في البريمي,https://rukn-eltatawer.com/om/wall-grass-al-buraimi/,wall-grass-al-buraimi,wall-grass,al-buraimi,2228,1315,0.41,0,20,13,1,,,,template_boilerplate|unexpanded_shortcodes|tel_in_content,Template/Boilerplate | Missing SEO Elements | Errors/Placeholders,Template/Boilerplate,"هيكل H2 مكرر على 1 مقالة، ونسبة الجمل المكررة 41%. شورت كود كيان غير مُفسَّر (أقسام ناقصة في HTML): [post_call], [post_features], [post_prices], [post_services], [post_steps]. ما زال هناك رابط اتصال هاتفي tel: داخل المحتوى."
